,0_x,0_y
53,"['They said love hurts\nI wrote that book\nI climbed that wall\nI had one look\nBut you just came around, to say hello\nThe streets were filled with guilty hearts\nAnd here was I right from the start\nAnd I lost everything\nWhen I lost you\nSo tell me why-why-why-why\nShould I let you go\nGive me 20 good reasons\nI need to know\nYeah\nAnd at that point\nThere was no pain\nThere was no sky\nThere was no rain fall\nAll there was was you and your sweet face\nBut life is life\nAnd things will change\nLike scenes upon an actors stage\nTomorrow comes today\nfor all we know\nSo tell me baby why-why-why-why\nShould I let you go\nGive me 20 good reasons\nI need to know\nYeah\nGive me 20 good reasons [X3]\nTo let…\nTraducir al español\nFuente: LyricFind']",20 Good Reasons+Thirsty Merc
54,['Para cantar he nacido\nSoy copla que el viento lleva\nA veces canto en el árbol\nQue se deshoja de pena\nA veces bebo del fuego\nPalabras de primavera\nMi sangre canta por dentro\nComo la lluvia por fuera\nLa noche canta y convierte\nSus pájaros en estrellas\nPero cuando canta el pueblo\nMusicaliza mis venas\nYo nunca miro a la rosa\nPor su color de quimera\nLa miro porque ella tiene\nA sangre de los que sueñan\nPorque en sus gajos florecen\nLas manos del que la siembra\nSi el canto no se levanta\nComo la hoguera del fuego\nSi no libera las penas\nDe los que están en la tierra\nDe nada sirve que suene\nLa voz de la chacarera\nAsí como canta el río\nCuando la noche lo ciega\nY sin mirar su camino\nSigue su rumbo de piedra\nYo le canto a los que vienen\nCaminando…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: LyricFind'],Si Llega A Ser Tucumana+Mercedes Sosa
55,['Soñaba tenerte sólo para mi\nMi vida llenaste de amor sin fin\nNuestro romance era inmenso\nPero no apreciaste lo que yo te dí\nLlegué a tocar el cielo con tu calor\nEras lo que siempre anhelaba\nPero en ti no sentias nada\nSólo frío tu corazón\nEn un segundo todo se acabó\nCuando dijiste era en vano\nNuestra relación\nPor que esperaste tanto tiempo\nY jugaste con mis sentimientos\nSobrevivir le pido a Dios\nPues tu recuerdo guarda mi corazón\nQue hice yo para merecer\nEste castigo en el amor\nSobrevivir le pido a Dios\nPues todo en mi se derrumbó\nVivo esclavizado de tu olvido\nA los 4 vientos ahora grito\nSobrevivir...\nCreí estar contigo hasta el final\nFinges bien lo que no puedes dar\nPor fuera tienes cara de Ángel\nSin saber que por dentro\nEl infierno está\nEl mundo da vuelta y lo…\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: Musixmatch'],Sobrevivir+Bobby Pulido
56,[],You Can Have Her+Jim Ed Brown
57,"[""When I saw you piss on the rug, my heart fluttered\nAnd I knew it was love, true love\nAll the things that you said and did to your mom\nI knew you were the only one, the only one for me\n(pre-chorus)\nGo and call the priest\nSo he can exorcize me\nBe my ghoul tonight...\n(chorus)\nRegan it was love at first fright, first fright\nLove at first fright, first fright\nRegan it was love at first fright, first fright\nLove at first fright, first fright\nI'd love it if you'd spin your head for me\nOr vomit a beautiful pea soup green\nSo beautifully\nAcross you stomach it said, help me\nI gotta' know…\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Love At First Fright (Album Version)+Murderdolls
58,[],Tripping+Montefiori Cocktail
59,['I had dreams and crazy schemes\nNever felt this way before\nI had days when I god raged\nNever felt like this before\nEndless nights that end in flights\nNow I feel love\nNever. Never. Never more than now\nNever. Never. Never more than now\nNever more than now\nParalysed by vicious lies\nNever felt this way before\nSeen hope die and grown men cry\nNever felt like this before\nShed lonely tears and heartfelt fears\nNow I feel love\nNever. Never. Never more than now\nNever. Never. Never more than now\nA thing of beauty\nLasts forever\nStretches…\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind'],Never More Than Now+ABC
60,"[""Lying on your floor\nLighting matches to stay warm\nClosing all the blinds\nAnd getting up to lock the door\nLying to your friends\nBurning s once again\nGuess some things\nJust never end\nYou're still around\nIn spite of them\nBad penny don't you know\nDon't you know\nYou'll lose your soul\nI wish you wouldn't start\nIt makes forgiveness twice as\nHard\nTrying to let go\nWhile making sure\nThat you get home\nAfter all the bars have closed\nAfter all it's getting cold\nMy stupid heart won't let go\nI'll fall asleep on your floor…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Bad Penny+Pete Krebs
61,[],Lifeboat+The Sutherland Brothers
62,[],I Know+DJ Peril
